[	0.0000000000000000e+00	1.1000000000000001e+00	]
[	5.0000000000000003e-02	1.1000000000000001e+00	]
[	1.0000000000000001e-01	1.1000000000000001e+00	]
[	1.4999999999999999e-01	1.1000000000000001e+00	]
[	2.0000000000000001e-01	1.1000000000000001e+00	]
[	2.5000000000000000e-01	6.7066751266484126e-01	]
[	2.9999999999999999e-01	5.7799999999823970e-01	]
[	3.4999999999999998e-01	5.7800000000274854e-01	]
[	4.0000000000000002e-01	5.7799999999965068e-01	]
[	4.5000000000000001e-01	5.7799999999671703e-01	]
[	5.0000000000000000e-01	5.7799999999945584e-01	]
[	5.5000000000000004e-01	5.7800000000006790e-01	]
[	5.9999999999999998e-01	5.7800000000194518e-01	]
[	6.5000000000000002e-01	5.7799999999883256e-01	]
[	6.9999999999999996e-01	5.7800000000245733e-01	]
[	7.5000000000000000e-01	5.7799999999874696e-01	]
[	8.0000000000000004e-01	-2.1270079128387770e-01	]
[	8.4999999999999998e-01	-1.1000000000000001e+00	]
[	9.0000000000000002e-01	-1.1000000000000001e+00	]
[	9.4999999999999996e-01	-1.1000000000000001e+00	]
[	1.0000000000000000e+00	-1.1000000000000001e+00	]
