[	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.0000000000000000e+00	]
[	5.0000000000000003e-02	7.5875840987137635e-02	4.0608670994891688e-01	9.9549774690171222e-01	]
[	1.0000000000000001e-01	2.9945083614690371e-01	7.9017973160252741e-01	9.9099549380342455e-01	]
[	1.4999999999999999e-01	6.5877670415831491e-01	1.1331870015214414e+00	9.8649324070513689e-01	]
[	2.0000000000000001e-01	1.1362288531077449e+00	1.4239888441755615e+00	9.8199098760684922e-01	]
[	2.5000000000000000e-01	1.7116180272389800e+00	1.6597413844269375e+00	9.7748873450856155e-01	]
[	2.9999999999999999e-01	2.3369933410139057e+00	1.7000000000005158e+00	9.7581510596426746e-01	]
[	3.4999999999999998e-01	2.9695412969717379e+00	1.6999999999998068e+00	9.7457202272122689e-01	]
[	4.0000000000000002e-01	3.6020892529296322e+00	1.7000000000007762e+00	9.7332893947816701e-01	]
[	4.5000000000000001e-01	4.2346372088876407e+00	1.7000000000004809e+00	9.7208585623512000e-01	]
[	5.0000000000000000e-01	4.8671851648453597e+00	1.6999999999992637e+00	9.7084277299208599e-01	]
[	5.5000000000000004e-01	5.4997331208028601e+00	1.6999999999992492e+00	9.6959968974903976e-01	]
[	5.9999999999999998e-01	6.1322810767603935e+00	1.6999999999994446e+00	9.6835660650599131e-01	]
[	6.5000000000000002e-01	6.7648290327181204e+00	1.7000000000002309e+00	9.6711352326293476e-01	]
[	6.9999999999999996e-01	7.3973769886758935e+00	1.6999999999997826e+00	9.6587044001989164e-01	]
[	7.5000000000000000e-01	8.0299249446337591e+00	1.7000000000006661e+00	9.6462735677683298e-01	]
[	8.0000000000000004e-01	8.6624729005916752e+00	1.7000000000000866e+00	9.6338427353379052e-01	]
[	8.4999999999999998e-01	9.2426831266729703e+00	1.4295298746810621e+00	9.6321593530768390e-01	]
[	9.0000000000000002e-01	9.6728877782271230e+00	8.9830820414709012e-01	9.5871368220939623e-01	]
[	9.4999999999999996e-01	9.9194945277031028e+00	4.3483384603743530e-01	9.5421142911110857e-01	]
[	1.0000000000000000e+00	9.9999999999982627e+00	-1.9008155477053192e-12	9.4970917601282090e-01	]
