,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle,numEpoch,numWorkers
0,1,1,0.5817948641131322,0.7813166666666667,8.286026954650879,11.239693880081177,0.01,100,True,1,2
1,2,1,0.9927574068307876,0.6129833333333333,7.001827001571655,7.6710288524627686,0.01,1000,True,1,2
2,3,1,2.138473689556122,0.19901666666666668,7.702007055282593,13.533554792404175,0.01,10000,True,1,2
